"PIGEON_HEADER","PUBLICATION_HEADER","PUBLICATION","SOURCE"
"emerson_2018_1329","QGNH01001889.1 Viral metagenome Bog_ctg_36863_g8_g23_8577_22600_cat5, whole genome shotgun sequence","Emerson et al., 2018","Permafrost peat soil in Sweden"
"gary_all20_13999","2088090014_____GPIPI_16748044","Paez-Espino et al., 2016 (IMG/VR)","Prarie soil in Iowa, USA"
"gary_all20_12813","3300001116_____JGI12627J13344_100094","Paez-Espino et al., 2016 (IMG/VR)","Forest loam soil in Texas, USA"
"gary_all20_21457","3300002558_____JGI25385J37094_10000435","Paez-Espino et al., 2016 (IMG/VR)","40 cm grassland soil in California, USA"
"gary_all20_23288","3300002562_____JGI25382J37095_10000460","Paez-Espino et al., 2016 (IMG/VR)","40 cm grassland soil in California, USA"
"gary_all20_7222","3300005336_____Ga0070680_100000273","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_6448","3300005445_____Ga0070708_100000299","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_7029","3300005458_____Ga0070681_10000405","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_7117","3300005468_____Ga0070707_100000650","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_4302","3300005471_____Ga0070698_100000450","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_12295","3300005518_____Ga0070699_100001616","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_3524","3300005526_____Ga0073909_10000045","Paez-Espino et al., 2016 (IMG/VR)","Coalmine fire soil in Pennsylvania, USA"
"gary_all20_15038","3300005532_____Ga0070739_10004404","Paez-Espino et al., 2016 (IMG/VR)","Coalmine fire soil in Pennsylvania, USA"
"gary_all20_13108","3300005533_____Ga0070734_10002918","Paez-Espino et al., 2016 (IMG/VR)","Coalmine fire soil in Pennsylvania, USA"
"gary_all20_15384","3300005533_____Ga0070734_10003503","Paez-Espino et al., 2016 (IMG/VR)","Coalmine fire soil in Pennsylvania, USA"
"gary_all20_9708","3300005535_____Ga0070684_100000547","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_3243","3300005538_____Ga0070731_10000560","Paez-Espino et al., 2016 (IMG/VR)","Coalmine fire soil in Pennsylvania, USA"
"gary_all20_9265","3300005554_____Ga0066661_10000039","Paez-Espino et al., 2016 (IMG/VR)","Grassland soil in California, USA"
"gary_all20_8396","3300005569_____Ga0066705_10000011","Paez-Espino et al., 2016 (IMG/VR)","Grassland soil in California, USA"
"gary_all20_19368","3300005569_____Ga0066705_10000312","Paez-Espino et al., 2016 (IMG/VR)","Grassland soil in California, USA"
"gary_all20_2146","3300005575_____Ga0066702_10000001","Paez-Espino et al., 2016 (IMG/VR)",NA
"gary_all20_14049","3300005587_____Ga0066654_10000078","Paez-Espino et al., 2016 (IMG/VR)",NA
"gary_all20_1018","3300006175_____Ga0070712_100000028","Paez-Espino et al., 2016 (IMG/VR)","Corn rhizopshere loam soil in Michigan, USA"
"gary_all20_13997","3300006918_____Ga0079216_10000075","Paez-Espino et al., 2016 (IMG/VR)","Agricultural soil in Utah, USA"
"gary_all20_19673","3300009090_____Ga0099827_10001434","Paez-Espino et al., 2016 (IMG/VR)","200cm vadose soil under Douglas fir in California, USA"
"gary_all20_8341","3300009840_____Ga0126313_10000148","Paez-Espino et al., 2016 (IMG/VR)","Grassland soil in California, USA"
"gary_all20_14630","3300010320_____Ga0134109_10000026","Paez-Espino et al., 2016 (IMG/VR)","20cm grassland soil in California, USA"
"gary_all20_14821","3300010403_____Ga0134123_10001211","Paez-Espino et al., 2016 (IMG/VR)","Soil from Michigan, USA"
"gary_all20_1556","3300011269_____Ga0137392_10000012","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_19233","3300011270_____Ga0137391_10003011","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_5390","3300011271_____Ga0137393_10000133","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_22643","3300012096_____Ga0137389_10002934","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_6869","3300012189_____Ga0137388_10000154","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_575","3300012205_____Ga0137362_10000004","Paez-Espino et al., 2016 (IMG/VR)","100cm vadose soil under Madrone in California, USA"
"gary_all20_22892","3300012205_____Ga0137362_10003653","Paez-Espino et al., 2016 (IMG/VR)","100cm vadose soil under Madrone in California, USA"
"gary_all20_22612","3300012361_____Ga0137360_10002765","Paez-Espino et al., 2016 (IMG/VR)","60cm vadose soil under Madrone in California, USA"
"gary_all20_9838","3300012362_____Ga0137361_10000338","Paez-Espino et al., 2016 (IMG/VR)","80cm vadose soil under Madrone in California, USA"
"gary_all20_19653","3300012362_____Ga0137361_10002207","Paez-Espino et al., 2016 (IMG/VR)","80cm vadose soil under Madrone in California, USA"
"gary_all20_18019","3300012363_____Ga0137390_10002960","Paez-Espino et al., 2016 (IMG/VR)","120cm vadose soil under Douglas fir in California, USA"
"gary_all20_20758","3300012685_____Ga0137397_10003090","Paez-Espino et al., 2016 (IMG/VR)","Rhizosphere vadose soil in California, USA"
"gary_all20_13905","3300012917_____Ga0137395_10000386","Paez-Espino et al., 2016 (IMG/VR)","Bulk vadose soil in California, USA"
"gary_all20_9508","3300012922_____Ga0137394_10000541","Paez-Espino et al., 2016 (IMG/VR)","Bulk vadose soil in California, USA"
"gary_all20_13857","3300012922_____Ga0137394_10001296","Paez-Espino et al., 2016 (IMG/VR)","Bulk vadose soil in California, USA"
"gary_all20_2791","3300012923_____Ga0137359_10000162","Paez-Espino et al., 2016 (IMG/VR)","40cm vadose soil under Madrone in California, USA"
"gary_all20_14370","3300012923_____Ga0137359_10001729","Paez-Espino et al., 2016 (IMG/VR)","40cm vadose soil under Madrone in California, USA"
"gary_all20_16148","3300012923_____Ga0137359_10002238","Paez-Espino et al., 2016 (IMG/VR)","40cm vadose soil under Madrone in California, USA"
"gary_all20_18876","3300012923_____Ga0137359_10003344","Paez-Espino et al., 2016 (IMG/VR)","40cm vadose soil under Madrone in California, USA"
"gary_all20_11456","3300012925_____Ga0137419_10000134","Paez-Espino et al., 2016 (IMG/VR)","Vadose soil in California, USA"
"gary_all20_9413","3300012927_____Ga0137416_10000186","Paez-Espino et al., 2016 (IMG/VR)","Vadose soil in California, USA"
"gary_all20_17279","3300012971_____Ga0126369_10002012","Paez-Espino et al., 2016 (IMG/VR)","Rainforest soil in Panama"
"gary_all20_11224","3300014166_____Ga0134079_10000070","Paez-Espino et al., 2016 (IMG/VR)","40cm grassland soil in California, USA"
"gary_all20_3793","3300015241_____Ga0137418_10000254","Paez-Espino et al., 2016 (IMG/VR)","Vadose soil in California, USA"
"gary_all20_3031","3300015264_____Ga0137403_10000523","Paez-Espino et al., 2016 (IMG/VR)","Vadose soil in California, USA"
"gary_all20_10835","3300015264_____Ga0137403_10002339","Paez-Espino et al., 2016 (IMG/VR)","Vadose soil in California, USA"
"gary_all20_22693","3300015372_____Ga0132256_100005996","Paez-Espino et al., 2016 (IMG/VR)","Rhizosphere soil in greenhouse"
"gary_all20_12270","3300018469_____Ga0190270_10000314","Paez-Espino et al., 2016 (IMG/VR)","Riparian soil in Utah, USA"
"gary_all20_8570","3300018476_____Ga0190274_10000334","Paez-Espino et al., 2016 (IMG/VR)","Riparian soil in Montana, USA"
"EarthsVirome_30106","3300001305_C688J14111_10000138","Paez-Espino et al., 2016 (Uncovering Earth's virome)","Loam grassland soil in Hopland, USA"
"EarthsVirome_32354","3300001305_C688J14111_10000164","Paez-Espino et al., 2016 (Uncovering Earth's virome)","Loam grassland soil in Hopland, USA"
"EarthsVirome_1765","3300001354_JGI20155J14468_10000076","Paez-Espino et al., 2016 (Uncovering Earth's virome)","North sea marine"
"EarthsVirome_9374","3300002907_JGI25613J43889_10000029","Paez-Espino et al., 2016 (Uncovering Earth's virome)","Grassland soil in California, USA"
"virsorter_curated_2543","Alphaproteobacteria_gi_224580656_0_35096 Uncultured Caudovirales","Roux et al., 2015","Public bacterial genome"
"virsorter_curated_225","Alphaproteobacteria_gi_224580657 Uncultured unclassified Myoviridae","Roux et al., 2015","Public bacterial genome"
"virsorter_curated_6568","Alphaproteobacteria_gi_353025795 Uncultured Caudovirales","Roux et al., 2015","Public bacterial genome"
"virsorter_curated_121","Alphaproteobacteria_gi_558562543_24663_1 Uncultured Caudovirales","Roux et al., 2015","Public bacterial genome"
"biochar_2018_95","VIRSorter_k141_110791_flag=1_multi=16_0864_len=62225-cat_2","Santos-Medellin et al., 2020","Bulk agricultural soil un California, USA"
"SPR_ownSam_382","SPRUCE_viral_seq_1140","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"JGI_spades_SPR_815","SPRUCE_viral_seq_1218","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"SPR_ownSam_584","SPRUCE_viral_seq_1607","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"SPR_ownSam_598","SPRUCE_viral_seq_1653","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"JGI_mega_SPR_887","SPRUCE_viral_seq_2687","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"JGI_mega_SPR_1217","SPRUCE_viral_seq_3601","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"JGI_spades_SPR_1939","SPRUCE_viral_seq_3845","ter Horst et al., in prep","Peat bog in Minnesota, USA"
"alaska_puertorico_799","DVF_NODE_1766_length_11053_cov_3.433473","Trubl et al., 2019","Permafrost peat soil in Sweden"
"gary_all20_14615","VIRSorter_NODE_1970_length_17161_cov_10_6811-cat_2","Trubl et al., 2019","Permafrost peat soil in Sweden"
"alaska_puertorico_778","052b4f24_scaffold_261_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_859","052b4f26_scaffold_1175_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_700","066b5f22_DVF_scaffold_380_c2","Trubl et al., in prep","Unknown"
"alaska_puertorico_880","088b5f20_DVF_scaffold_1196_c1","Trubl et al., in prep","Unknown"
"alaska_puertorico_377","088b5f21_DVF_scaffold_467_c1","Trubl et al., in prep","Unknown"
"alaska_puertorico_852","108b1f24_scaffold_1160_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_789","174b1f22_scaffold_820_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_477","176b2f22_scaffold_230_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_792","LF176_scaffold_2735_c1-cat_2","Trubl et al., in prep","Unknown"
"alaska_puertorico_926","LF178_scaffold_1912_c1-cat_2","Trubl et al., in prep","Unknown"
